Trends in Number of COVID-19 Vaccinations in the US
Date generated: Sun Feb 14 2021 15:46:09 GMT-0600 (Central Standard Time)

Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change
Admin,2020-12-14,US,3529,3411,4,12758,11608,958,5804,6379,479,null,null
Admin,2020-12-15,US,48438,45027,18,61196,56635,976,18878,20398,325,null,null
Admin,2020-12-16,US,156822,150011,178,218018,206646,1154,51661,54504,288,null,null
Admin,2020-12-17,US,267790,257123,458,485808,463769,1612,92753,97161,322,null,null
Admin,2020-12-18,US,403965,393019,464,889773,856788,2076,142798,148295,346,null,null
Admin,2020-12-19,US,169807,165349,645,1059580,1022137,2721,146019,151368,388,null,null
Admin,2020-12-20,US,100060,98071,333,1159640,1120208,3054,158858,164344,300,null,null
Admin,2020-12-21,US,370899,362884,631,1530539,1483092,3685,210212,216825,389,null,null
Admin,2020-12-22,US,436771,427914,1764,1967310,1911006,5449,264910,272302,639,null,null
Admin,2020-12-23,US,552440,540876,1466,2519750,2451882,6915,320748,328818,823,null,null
Admin,2020-12-24,US,189290,183934,839,2709040,2635816,7754,310292,317604,877,null,null
Admin,2020-12-25,US,11783,11711,26,2720823,2647527,7780,255819,261578,814,null,null
Admin,2020-12-26,US,134247,131941,260,2855070,2779468,8040,251047,256498,759,null,null
Admin,2020-12-27,US,89976,88201,248,2945046,2867669,8288,249637,255058,747,null,null
Admin,2020-12-28,US,558989,545664,1952,3504035,3413333,10240,275748,281928,936,null,null
Admin,2020-12-29,US,685850,665945,2369,4189885,4079278,12609,309753,317510,1022,null,null
Admin,2020-12-30,US,802151,780399,4602,4992036,4859677,17211,343970,353183,1470,null,null
Admin,2020-12-31,US,403200,392530,1402,5395236,5252207,18613,373770,383742,1551,null,null
Admin,2021-01-01,US,36765,35564,582,5432001,5287771,19195,377177,387311,1630,null,null
